class,label,gloss
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_apartments,apartments,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_apartments,building,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bungalow,bungalow,"A single-storey detached small house, Dacha."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cabin,cabin,"A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_detached,detached house,"A detached house, a free-standing residential building usually housing a single family."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_dormitory,dormitory,A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_farm,farm,A residential building on a farm (farmhouse).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_ger,ger,A permanent or seasonal round yurt or ger used as dwelling.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hotel,hotel,A building designed with separate rooms available for overnight accommodation. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_house,house,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_houseboat,houseboat,A boat used primarily as a home
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_residential,residential building,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached house'."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_semidetached_house,semidetached house,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_static_caravan,static caravan,A mobile home (semi)permanently left on a single site
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_terrace,terrace,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_commercial,commercial building,"A building for non-specific commercial activities, not necessarily an office building. "
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_industrial,industrial building,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_kiosk,kiosk,A small one-room retail building.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_office,office,An office building.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_retail,retail store,A building primarily used for selling goods that are sold to the public.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_supermarket,supermarket,A building constructed to house a self-service large-area store.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_warehouse,warehouse,A building primarily intended for the storage or goods or as part of a distribution system.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cathedral,cathedral,A building that was built as a cathedral. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_chapel,chapel,A building that was built as a chapel. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_church,church,A building that was built as a church.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_monastery,monastery,"A building constructed as monastery. Often, monasteries are consisting of several distinct buildings with specific functions."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_mosque,mosque,A building errected as mosque.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_presbytery,presbytery,A building where priests live and work.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_religious,religious building,Unspecific building related to religion. Prefer more specific values if possible.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_shrine,shrine,A building that was built as a shrine.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_synagogue,synagogue,A building that was built as a synagogue.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_temple,temple,A building that was built as a temple.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bakehouse,bakehouse,A building that was built as a bakehouse (i.e. for baking bread). 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_civic,civic building,A generic tag for a building created to house some civic amenity.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_fire_station,fire station,"A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. "
